याकाक्षे टोल
27.615900, 85.534503
27.615508, 85.534535
27.616316, 85.534734
27.615836, 85.535841
27.615489, 85.535104






नाष्टोल
27.615900, 85.534503
27.615116, 85.534497
27.615140, 85.534267
27.615865, 85.534229
27.615967, 85.534267

वसाटोल
27.615865, 85.534229
27.615967, 85.534267
27.615984, 85.533985
27.615589, 85.533462
27.615527, 85.533226
27.615385, 85.532652
27.614767, 85.533092
27.614755, 85.532258
27.614588, 85.532510
27.614662, 85.533004
27.614736, 85.533242
27.614498, 85.533199
27.614569, 85.533701
27.614681, 85.534200
27.615028, 85.534028
27.615152, 85.533932
27.615140, 85.534267



लासाकोटोल
27.614681, 85.534200
27.615028, 85.534028
27.615152, 85.533932
27.615107, 85.534393
27.615095, 85.535222
27.615199, 85.535415
27.615035, 85.535444
27.614831, 85.535407
27.614524, 85.535243
27.614092, 85.534497
27.614439, 85.534302




manandhar toll
27.614736, 85.533242
27.614498, 85.533199
27.614451, 85.532998
27.614184, 85.533004
27.614170, 85.532658
27.614279, 85.532279
27.614510, 85.532100
27.614558, 85.532263




dwakcha pull / Naya bazar
27.614750, 85.529616
27.614455, 85.529026
27.612354, 85.529562
27.613619, 85.531772
27.614674, 85.531719
27.614605, 85.532108



भुखाटोल
27.614855, 85.532094
27.615397, 85.532652
27.615615, 85.533510
27.617238, 85.532143
27.616518, 85.531727
27.615211, 85.532089


वहाटोल
27.615130, 85.534524
27.615508, 85.534535
27.615487, 85.535082
27.615252, 85.535090
27.615111, 85.535133
27.615092, 85.534809



Old darbur
27.614501, 85.533193
27.614187, 85.533218
27.613904, 85.533886
27.614047, 85.534495
27.614244, 85.534371
27.614539, 85.534272
27.614686, 85.534197
27.614569, 85.533704



